,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-08-03,221.18338930750397,197.57246316608908,245.8065547055532,221.18338930750397,221.18338930750397,-0.6385461912675928,-0.6385461912675928,-0.6385461912675928,-0.6385461912675928,-0.6385461912675928,-0.6385461912675928,0.0,0.0,0.0,220.5448431162364
1,2022-08-04,221.6471619951307,198.2945153051978,246.15486192006796,221.6471619951307,221.6471619951307,0.28614327020299934,0.28614327020299934,0.28614327020299934,0.28614327020299934,0.28614327020299934,0.28614327020299934,0.0,0.0,0.0,221.9333052653337
2,2022-08-05,222.11093468275743,199.4412885720493,247.77702264441024,222.11093468275743,222.11093468275743,-0.2024667917108925,-0.2024667917108925,-0.2024667917108925,-0.2024667917108925,-0.2024667917108925,-0.2024667917108925,0.0,0.0,0.0,221.90846789104654
3,2022-08-08,223.50225274563755,199.28686642945033,245.29819993347277,223.50225274563755,223.50225274563755,-1.485918236398384,-1.485918236398384,-1.485918236398384,-1.485918236398384,-1.485918236398384,-1.485918236398384,0.0,0.0,0.0,222.01633450923916
4,2022-08-09,223.96602543326426,198.1901492167462,244.5693551357762,223.96602543326426,223.96602543326426,-2.9261513560959567,-2.9261513560959567,-2.9261513560959567,-2.9261513560959567,-2.9261513560959567,-2.9261513560959567,0.0,0.0,0.0,221.03987407716832
5,2022-08-10,224.42979812089098,198.71464417755993,246.39382795787597,224.42979812089098,224.42979812089098,-0.6385461912660955,-0.6385461912660955,-0.6385461912660955,-0.6385461912660955,-0.6385461912660955,-0.6385461912660955,0.0,0.0,0.0,223.79125192962488
6,2022-08-11,224.8935708085177,200.94876184853274,249.10601023174635,224.8935708085177,224.8935708085177,0.28614327020221364,0.28614327020221364,0.28614327020221364,0.28614327020221364,0.28614327020221364,0.28614327020221364,0.0,0.0,0.0,225.1797140787199
7,2022-08-12,225.3573434961444,199.51635635766243,249.2558049768035,225.3573434961444,225.3573434961444,-0.20246679171503276,-0.20246679171503276,-0.20246679171503276,-0.20246679171503276,-0.20246679171503276,-0.20246679171503276,0.0,0.0,0.0,225.15487670442937
8,2022-08-15,226.74866155902455,199.9424736964824,248.96558008442426,226.74866155902455,226.74866155902455,-1.4859182364027954,-1.4859182364027954,-1.4859182364027954,-1.4859182364027954,-1.4859182364027954,-1.4859182364027954,0.0,0.0,0.0,225.26274332262176
9,2022-08-16,227.21243424869328,198.48356629843,246.53909636681925,227.21243424869328,227.21243424869328,-2.9261513560936314,-2.9261513560936314,-2.9261513560936314,-2.9261513560936314,-2.9261513560936314,-2.9261513560936314,0.0,0.0,0.0,224.28628289259964
10,2022-08-17,227.676206938362,201.7016729495684,250.96057136026857,227.676206938362,227.676206938362,-0.638546191264598,-0.638546191264598,-0.638546191264598,-0.638546191264598,-0.638546191264598,-0.638546191264598,0.0,0.0,0.0,227.0376607470974
11,2022-08-18,228.13997962803074,204.01991602382438,251.52806497361215,228.13997962803074,228.13997962803074,0.28614327020460273,0.28614327020460273,0.28614327020460273,0.28614327020460273,0.28614327020460273,0.28614327020460273,0.0,0.0,0.0,228.42612289823535
12,2022-08-19,228.60375231769947,205.072009002251,251.14760464983098,228.60375231769947,228.60375231769947,-0.20246679171410442,-0.20246679171410442,-0.20246679171410442,-0.20246679171410442,-0.20246679171410442,-0.20246679171410442,0.0,0.0,0.0,228.40128552598537
13,2022-08-22,229.99507038670563,204.6931620800925,252.02285253167008,229.99507038670563,229.99507038670563,-1.4859182363885546,-1.4859182363885546,-1.4859182363885546,-1.4859182363885546,-1.4859182363885546,-1.4859182363885546,0.0,0.0,0.0,228.50915215031708
14,2022-08-23,230.45884307637436,203.13538863544693,250.57052116546967,230.45884307637436,230.45884307637436,-2.926151356098837,-2.926151356098837,-2.926151356098837,-2.926151356098837,-2.926151356098837,-2.926151356098837,0.0,0.0,0.0,227.53269172027552
15,2022-08-24,230.9226157660431,205.2462214021114,254.1818095326003,230.9226157660431,230.9226157660431,-0.6385461912631007,-0.6385461912631007,-0.6385461912631007,-0.6385461912631007,-0.6385461912631007,-0.6385461912631007,0.0,0.0,0.0,230.28406957478
16,2022-08-25,231.38638845571182,206.84369951998622,256.5125736314522,231.38638845571182,231.38638845571182,0.286143270203817,0.286143270203817,0.286143270203817,0.286143270203817,0.286143270203817,0.286143270203817,0.0,0.0,0.0,231.67253172591563
17,2022-08-26,231.85016826106474,208.28718018429336,256.33000985624017,231.85016826106474,231.85016826106474,-0.20246679171334928,-0.20246679171334928,-0.20246679171334928,-0.20246679171334928,-0.20246679171334928,-0.20246679171334928,0.0,0.0,0.0,231.64770146935138
18,2022-08-29,233.24150767712354,208.164093260579,255.2582118890371,233.24150767712354,233.24150767712354,-1.4859182363929662,-1.4859182363929662,-1.4859182363929662,-1.4859182363929662,-1.4859182363929662,-1.4859182363929662,0.0,0.0,0.0,231.75558944073057
19,2022-08-30,233.70528748247648,206.18592266470944,254.90263141901494,233.70528748247648,233.70528748247648,-2.92615135609762,-2.92615135609762,-2.92615135609762,-2.92615135609762,-2.92615135609762,-2.92615135609762,0.0,0.0,0.0,230.77913612637886
20,2022-08-31,234.1690672878294,209.13087868206014,258.16353319289425,234.1690672878294,234.1690672878294,-0.6385461912607918,-0.6385461912607918,-0.6385461912607918,-0.6385461912607918,-0.6385461912607918,-0.6385461912607918,0.0,0.0,0.0,233.5305210965686
21,2022-09-01,234.6328470931823,212.82347282245786,256.7952840639063,234.6328470931823,234.6328470931823,0.2861432702037397,0.2861432702037397,0.2861432702037397,0.2861432702037397,0.2861432702037397,0.2861432702037397,0.0,0.0,0.0,234.91899036338606
22,2022-09-02,235.09662689853525,212.31349826076774,257.6261117542738,235.09662689853525,235.09662689853525,-0.20246679171259466,-0.20246679171259466,-0.20246679171259466,-0.20246679171259466,-0.20246679171259466,-0.20246679171259466,0.0,0.0,0.0,234.89416010682265
23,2022-09-06,236.95174611994696,210.09310577041808,258.8513895434297,236.95174611994696,236.95174611994696,-2.926151356097511,-2.926151356097511,-2.926151356097511,-2.926151356097511,-2.926151356097511,-2.926151356097511,0.0,0.0,0.0,234.02559476384945
24,2022-09-07,237.4155259252999,213.47193427080649,260.7799897154533,237.4155259252999,237.4155259252999,-0.6385461912601058,-0.6385461912601058,-0.6385461912601058,-0.6385461912601058,-0.6385461912601058,-0.6385461912601058,0.0,0.0,0.0,236.7769797340398
25,2022-09-08,237.87933141935275,213.77584047081285,263.79089823018325,237.87933141935275,237.87933141935275,0.2861432702061287,0.2861432702061287,0.2861432702061287,0.2861432702061287,0.2861432702061287,0.2861432702061287,0.0,0.0,0.0,238.1654746895589
26,2022-09-09,238.3431369134056,214.53450692892739,262.5976999729363,238.3431369134056,238.3431369134056,-0.20246679171149284,-0.20246679171149284,-0.20246679171149284,-0.20246679171149284,-0.20246679171149284,-0.20246679171149284,0.0,0.0,0.0,238.14067012169411
27,2022-09-12,239.73455339556418,214.27306720064405,263.3482797248987,239.73455339556418,239.73455339556418,-1.485918236398233,-1.485918236398233,-1.485918236398233,-1.485918236398233,-1.485918236398233,-1.485918236398233,0.0,0.0,0.0,238.24863515916596
28,2022-09-13,240.198358889617,212.63713198419657,260.5333739865724,240.198358889617,240.198358889617,-2.9261513560974013,-2.9261513560974013,-2.9261513560974013,-2.9261513560974013,-2.9261513560974013,-2.9261513560974013,0.0,0.0,0.0,237.2722075335196
29,2022-09-14,240.66216438366985,216.28391509209746,264.0531080519375,240.66216438366985,240.66216438366985,-0.6385461912670608,-0.6385461912670608,-0.6385461912670608,-0.6385461912670608,-0.6385461912670608,-0.6385461912670608,0.0,0.0,0.0,240.02361819240278
30,2022-09-15,241.12596987772272,216.57562914865872,265.4728968276434,241.12596987772272,241.12596987772272,0.2861432702056972,0.2861432702056972,0.2861432702056972,0.2861432702056972,0.2861432702056972,0.2861432702056972,0.0,0.0,0.0,241.4121131479284
31,2022-09-16,241.5897753717756,217.49172492534922,264.4882697300031,241.5897753717756,241.5897753717756,-0.2024667917107377,-0.2024667917107377,-0.2024667917107377,-0.2024667917107377,-0.2024667917107377,-0.2024667917107377,0.0,0.0,0.0,241.38730858006485
32,2022-09-19,242.98119185393412,215.92000336351035,266.26873447678526,242.98119185393412,242.98119185393412,-1.4859182363851775,-1.4859182363851775,-1.4859182363851775,-1.4859182363851775,-1.4859182363851775,-1.4859182363851775,0.0,0.0,0.0,241.49527361754895
33,2022-09-20,243.5172408384506,216.8781431382318,265.5243832854261,243.5172408384506,243.5172408384506,-2.926151356095076,-2.926151356095076,-2.926151356095076,-2.926151356095076,-2.926151356095076,-2.926151356095076,0.0,0.0,0.0,240.59108948235553
34,2022-09-21,244.05328982296706,220.82341880816367,266.790705933043,244.05328982296706,244.05328982296706,-0.6385461912655637,-0.6385461912655637,-0.6385461912655637,-0.6385461912655637,-0.6385461912655637,-0.6385461912655637,0.0,0.0,0.0,243.4147436317015
35,2022-09-22,244.58933880748353,220.19286005135032,268.21852007030975,244.58933880748353,244.58933880748353,0.28614327020491154,0.28614327020491154,0.28614327020491154,0.28614327020491154,0.28614327020491154,0.28614327020491154,0.0,0.0,0.0,244.87548207768845
36,2022-09-23,245.125387792,220.72915156421584,268.6626865484499,245.125387792,245.125387792,-0.20246679170980958,-0.20246679170980958,-0.20246679170980958,-0.20246679170980958,-0.20246679170980958,-0.20246679170980958,0.0,0.0,0.0,244.9229210002902
37,2022-09-26,246.7335347455494,221.6453851114602,270.6368303452784,246.7335347455494,246.7335347455494,-1.4859182363884034,-1.4859182363884034,-1.4859182363884034,-1.4859182363884034,-1.4859182363884034,-1.4859182363884034,0.0,0.0,0.0,245.247616509161
38,2022-09-27,247.26958373006588,220.83573069092793,268.6421748986511,247.26958373006588,247.26958373006588,-2.926151356094967,-2.926151356094967,-2.926151356094967,-2.926151356094967,-2.926151356094967,-2.926151356094967,0.0,0.0,0.0,244.3434323739709
39,2022-09-28,247.80563271458232,225.30261934411234,270.244275761136,247.80563271458232,247.80563271458232,-0.6385461912632548,-0.6385461912632548,-0.6385461912632548,-0.6385461912632548,-0.6385461912632548,-0.6385461912632548,0.0,0.0,0.0,247.16708652331906
40,2022-09-29,248.34168169909879,225.48796780548665,272.7233546644335,248.34168169909879,248.34168169909879,0.28614327020448005,0.28614327020448005,0.28614327020448005,0.28614327020448005,0.28614327020448005,0.28614327020448005,0.0,0.0,0.0,248.62782496930328
41,2022-09-30,249.06787185680295,224.00914111857733,272.27338120462116,249.06787185680295,249.06787185680295,-0.2024667917137763,-0.2024667917137763,-0.2024667917137763,-0.2024667917137763,-0.2024667917137763,-0.2024667917137763,0.0,0.0,0.0,248.86540506508916
42,2022-10-03,251.24644232991554,226.36327812558,274.2889381336782,251.24644232991554,251.24644232991554,-1.4859182363904446,-1.4859182363904446,-1.4859182363904446,-1.4859182363904446,-1.4859182363904446,-1.4859182363904446,0.0,0.0,0.0,249.7605240935251
43,2022-10-04,251.9726324876197,224.1943186965598,273.2923323835638,251.9726324876197,251.9726324876197,-2.92615135609375,-2.92615135609375,-2.92615135609375,-2.92615135609375,-2.92615135609375,-2.92615135609375,0.0,0.0,0.0,249.04648113152595
44,2022-10-05,252.69882264532387,229.2436598710645,277.0188749778439,252.69882264532387,252.69882264532387,-0.6385461912718328,-0.6385461912718328,-0.6385461912718328,-0.6385461912718328,-0.6385461912718328,-0.6385461912718328,0.0,0.0,0.0,252.06027645405203
45,2022-10-06,253.42501280302804,229.81668439256796,277.6104006321771,253.42501280302804,253.42501280302804,0.28614327020369434,0.28614327020369434,0.28614327020369434,0.28614327020369434,0.28614327020369434,0.28614327020369434,0.0,0.0,0.0,253.71115607323173
46,2022-10-07,254.1512029607322,229.80743579734977,278.03736105545516,254.1512029607322,254.1512029607322,-0.2024667917128482,-0.2024667917128482,-0.2024667917128482,-0.2024667917128482,-0.2024667917128482,-0.2024667917128482,0.0,0.0,0.0,253.94873616901936
47,2022-10-10,256.32977343384476,230.1879376147663,279.0660947931074,256.32977343384476,256.32977343384476,-1.4859182363936705,-1.4859182363936705,-1.4859182363936705,-1.4859182363936705,-1.4859182363936705,-1.4859182363936705,0.0,0.0,0.0,254.8438551974511
48,2022-10-11,257.05596359154896,231.12329386253276,277.7967014238646,257.05596359154896,257.05596359154896,-2.9261513560978476,-2.9261513560978476,-2.9261513560978476,-2.9261513560978476,-2.9261513560978476,-2.9261513560978476,0.0,0.0,0.0,254.1298122354511
49,2022-10-12,257.78477319917516,231.67435182819403,281.1303744770525,257.78477319917516,257.78477319917516,-0.6385461912703354,-0.6385461912703354,-0.6385461912703354,-0.6385461912703354,-0.6385461912703354,-0.6385461912703354,0.0,0.0,0.0,257.1462270079048
50,2022-10-13,258.51358280680137,236.1012566508071,283.2062354937854,258.51358280680137,258.51358280680137,0.28614327020361696,0.28614327020361696,0.28614327020361696,0.28614327020361696,0.28614327020361696,0.28614327020361696,0.0,0.0,0.0,258.799726077005
51,2022-10-14,259.24239241442757,236.38112538528205,282.4791844892757,259.24239241442757,259.24239241442757,-0.20246679171209306,-0.20246679171209306,-0.20246679171209306,-0.20246679171209306,-0.20246679171209306,-0.20246679171209306,0.0,0.0,0.0,259.0399256227155
52,2022-10-17,261.4288212373061,236.9039801833749,282.364853830328,261.4288212373061,261.4288212373061,-1.4859182363957117,-1.4859182363957117,-1.4859182363957117,-1.4859182363957117,-1.4859182363957117,-1.4859182363957117,0.0,0.0,0.0,259.9429030009104
53,2022-10-18,262.1576308449324,234.33527721131279,283.3153661068613,262.1576308449324,262.1576308449324,-2.92615135609663,-2.92615135609663,-2.92615135609663,-2.92615135609663,-2.92615135609663,-2.92615135609663,0.0,0.0,0.0,259.23147948883576
54,2022-10-19,262.88644045255853,237.61557974529646,285.0615116616427,262.88644045255853,262.88644045255853,-0.6385461912688383,-0.6385461912688383,-0.6385461912688383,-0.6385461912688383,-0.6385461912688383,-0.6385461912688383,0.0,0.0,0.0,262.2478942612897
55,2022-10-20,263.61525006018474,238.62487107944904,289.1663372604948,263.61525006018474,263.61525006018474,0.28614327020283126,0.28614327020283126,0.28614327020283126,0.28614327020283126,0.28614327020283126,0.28614327020283126,0.0,0.0,0.0,263.9013933303876
56,2022-10-21,264.34405966781094,239.6233293445945,288.12336045401986,264.34405966781094,264.34405966781094,-0.20246679171116494,-0.20246679171116494,-0.20246679171116494,-0.20246679171116494,-0.20246679171116494,-0.20246679171116494,0.0,0.0,0.0,264.14159287609976
57,2022-10-24,266.5308278202186,242.651832328756,287.2989656393505,266.5308278202186,266.5308278202186,-1.4859182364001229,-1.4859182364001229,-1.4859182364001229,-1.4859182364001229,-1.4859182364001229,-1.4859182364001229,0.0,0.0,0.0,265.0449095838185
58,2022-10-25,267.2597505376878,240.92253580942506,286.4917574239052,267.2597505376878,267.2597505376878,-2.926151356096521,-2.926151356096521,-2.926151356096521,-2.926151356096521,-2.926151356096521,-2.926151356096521,0.0,0.0,0.0,264.3335991815913
59,2022-10-26,267.988673255157,243.79706682730256,290.2789702070376,267.988673255157,267.988673255157,-0.6385461912665293,-0.6385461912665293,-0.6385461912665293,-0.6385461912665293,-0.6385461912665293,-0.6385461912665293,0.0,0.0,0.0,267.35012706389045
60,2022-10-27,268.71759597262627,244.22461207688838,293.05959323828233,268.71759597262627,268.71759597262627,0.28614327020522035,0.28614327020522035,0.28614327020522035,0.28614327020522035,0.28614327020522035,0.28614327020522035,0.0,0.0,0.0,269.0037392428315
61,2022-10-28,269.44651869009544,245.30009557209326,294.1498356302354,269.44651869009544,269.44651869009544,-0.20246679171040977,-0.20246679171040977,-0.20246679171040977,-0.20246679171040977,-0.20246679171040977,-0.20246679171040977,0.0,0.0,0.0,269.244051898385
62,2022-10-31,271.6332868425031,245.23796442949094,294.99785501100604,271.6332868425031,271.6332868425031,-1.4859182364021637,-1.4859182364021637,-1.4859182364021637,-1.4859182364021637,-1.4859182364021637,-1.4859182364021637,0.0,0.0,0.0,270.14736860610094
63,2022-11-01,272.3622095599723,244.6214485432519,292.7132595285433,272.3622095599723,272.3622095599723,-2.9261513560995107,-2.9261513560995107,-2.9261513560995107,-2.9261513560995107,-2.9261513560995107,-2.9261513560995107,0.0,0.0,0.0,269.4360582038728
64,2022-11-02,273.0911322774415,248.45598564141474,296.5676096646179,273.0911322774415,273.0911322774415,-0.6385461912642204,-0.6385461912642204,-0.6385461912642204,-0.6385461912642204,-0.6385461912642204,-0.6385461912642204,0.0,0.0,0.0,272.4525860861773
65,2022-11-03,273.82005499391676,249.1407966896677,300.18426170424766,273.82005499391676,273.82005499391676,0.2861432702047888,0.2861432702047888,0.2861432702047888,0.2861432702047888,0.2861432702047888,0.2861432702047888,0.0,0.0,0.0,274.10619826412153
66,2022-11-04,274.5489777103919,251.46245925313482,298.9559620497019,274.5489777103919,274.5489777103919,-0.2024667917093081,-0.2024667917093081,-0.2024667917093081,-0.2024667917093081,-0.2024667917093081,-0.2024667917093081,0.0,0.0,0.0,274.3465109186826
67,2022-11-07,276.7357458598175,252.12954129151058,298.36713247058503,276.7357458598175,276.7357458598175,-1.4859182363891081,-1.4859182363891081,-1.4859182363891081,-1.4859182363891081,-1.4859182363891081,-1.4859182363891081,0.0,0.0,0.0,275.24982762342836
68,2022-11-08,277.46466857629275,251.21278748367024,300.3243251191007,277.46466857629275,277.46466857629275,-2.9261513560994015,-2.9261513560994015,-2.9261513560994015,-2.9261513560994015,-2.9261513560994015,-2.9261513560994015,0.0,0.0,0.0,274.53851722019334
69,2022-11-09,278.1935912927679,253.11953314339974,301.88277510241284,278.1935912927679,278.1935912927679,-0.6385461912627232,-0.6385461912627232,-0.6385461912627232,-0.6385461912627232,-0.6385461912627232,-0.6385461912627232,0.0,0.0,0.0,277.5550451015052
70,2022-11-10,278.9225140092431,253.98664146052414,302.42752353522224,278.9225140092431,278.9225140092431,0.2861432702043573,0.2861432702043573,0.2861432702043573,0.2861432702043573,0.2861432702043573,0.2861432702043573,0.0,0.0,0.0,279.2086572794475
71,2022-11-11,279.65143672571827,255.4980273476672,303.12595711761475,279.65143672571827,279.65143672571827,-0.20246679170855333,-0.20246679170855333,-0.20246679170855333,-0.20246679170855333,-0.20246679170855333,-0.20246679170855333,0.0,0.0,0.0,279.4489699340097
72,2022-11-14,281.8382048751439,256.7479194786834,305.46547983759706,281.8382048751439,281.8382048751439,-1.4859182363923344,-1.4859182363923344,-1.4859182363923344,-1.4859182363923344,-1.4859182363923344,-1.4859182363923344,0.0,0.0,0.0,280.3522866387516
73,2022-11-15,282.5671275939431,254.87558054764915,301.70640514458705,282.5671275939431,282.5671275939431,-2.9261513560970753,-2.9261513560970753,-2.9261513560970753,-2.9261513560970753,-2.9261513560970753,-2.9261513560970753,0.0,0.0,0.0,279.640976237846
74,2022-11-16,283.2960503127424,258.56750893804724,306.82863448099147,283.2960503127424,283.2960503127424,-0.6385461912612258,-0.6385461912612258,-0.6385461912612258,-0.6385461912612258,-0.6385461912612258,-0.6385461912612258,0.0,0.0,0.0,282.65750412148117
75,2022-11-17,284.0249730315416,261.7783659492387,307.90598895422886,284.0249730315416,284.0249730315416,0.28614327020357166,0.28614327020357166,0.28614327020357166,0.28614327020357166,0.28614327020357166,0.28614327020357166,0.0,0.0,0.0,284.3111163017452
76,2022-11-18,284.75389575034086,261.6332746588509,307.7323005022173,284.75389575034086,284.75389575034086,-0.2024667917123469,-0.2024667917123469,-0.2024667917123469,-0.2024667917123469,-0.2024667917123469,-0.2024667917123469,0.0,0.0,0.0,284.5514289586285
77,2022-11-21,286.94066390673856,261.707371893798,309.4337255443216,286.94066390673856,286.94066390673856,-1.4859182363955605,-1.4859182363955605,-1.4859182363955605,-1.4859182363955605,-1.4859182363955605,-1.4859182363955605,0.0,0.0,0.0,285.454745670343
78,2022-11-22,287.6695866255379,260.4685033099629,308.44704424153804,287.6695866255379,287.6695866255379,-2.9261513560969665,-2.9261513560969665,-2.9261513560969665,-2.9261513560969665,-2.9261513560969665,-2.9261513560969665,0.0,0.0,0.0,284.7434352694409
79,2022-11-23,288.39850934433707,264.66538970615676,312.09644923969864,288.39850934433707,288.39850934433707,-0.6385461912689923,-0.6385461912689923,-0.6385461912689923,-0.6385461912689923,-0.6385461912689923,-0.6385461912689923,0.0,0.0,0.0,287.7599631530681
80,2022-11-25,289.8563547819355,265.606902340279,312.95231668509695,289.8563547819355,289.8563547819355,-0.20246679171159201,-0.20246679171159201,-0.20246679171159201,-0.20246679171159201,-0.20246679171159201,-0.20246679171159201,0.0,0.0,0.0,289.65388799022395
81,2022-11-28,292.0431229972465,266.99655738936417,314.86046927446864,292.0431229972465,292.0431229972465,-1.485918236382505,-1.485918236382505,-1.485918236382505,-1.485918236382505,-1.485918236382505,-1.485918236382505,0.0,0.0,0.0,290.55720476086395
82,2022-11-29,292.7720457356835,265.93359448591,314.05157361049464,292.7720457356835,292.7720457356835,-2.9261513560957493,-2.9261513560957493,-2.9261513560957493,-2.9261513560957493,-2.9261513560957493,-2.9261513560957493,0.0,0.0,0.0,289.8458943795877
83,2022-11-30,293.50096847412044,267.3947158855154,316.79683359187806,293.50096847412044,293.50096847412044,-0.6385461912666834,-0.6385461912666834,-0.6385461912666834,-0.6385461912666834,-0.6385461912666834,-0.6385461912666834,0.0,0.0,0.0,292.86242228285374
84,2022-12-01,294.22989121255745,271.13589791840525,318.20152786096327,294.22989121255745,294.22989121255745,0.28614327020235447,0.28614327020235447,0.28614327020235447,0.28614327020235447,0.28614327020235447,0.28614327020235447,0.0,0.0,0.0,294.5160344827598
85,2022-12-02,294.9588139509944,270.7237802388241,318.4754526555596,294.9588139509944,294.9588139509944,-0.20246679171066348,-0.20246679171066348,-0.20246679171066348,-0.20246679171066348,-0.20246679171066348,-0.20246679171066348,0.0,0.0,0.0,294.75634715928373
86,2022-12-05,297.14558216630536,270.60787054693657,318.4439114480807,297.14558216630536,297.14558216630536,-1.4859182363857313,-1.4859182363857313,-1.4859182363857313,-1.4859182363857313,-1.4859182363857313,-1.4859182363857313,0.0,0.0,0.0,295.65966392991965
87,2022-12-06,297.87450490474237,271.1353228883178,318.3830485121133,297.87450490474237,297.87450490474237,-2.9261513560956396,-2.9261513560956396,-2.9261513560956396,-2.9261513560956396,-2.9261513560956396,-2.9261513560956396,0.0,0.0,0.0,294.9483535486467
88,2022-12-07,298.60342764317926,273.98005633948856,322.83877798168004,298.60342764317926,298.60342764317926,-0.6385461912659977,-0.6385461912659977,-0.6385461912659977,-0.6385461912659977,-0.6385461912659977,-0.6385461912659977,0.0,0.0,0.0,297.96488145191324
89,2022-12-08,299.3323503428064,275.5478017184733,324.90970811927247,299.3323503428064,299.3323503428064,0.28614327020192293,0.28614327020192293,0.28614327020192293,0.28614327020192293,0.28614327020192293,0.28614327020192293,0.0,0.0,0.0,299.61849361300835
90,2022-12-09,300.0612730424336,273.3193787122651,324.37754360885157,300.0612730424336,300.0612730424336,-0.20246679171463064,-0.20246679171463064,-0.20246679171463064,-0.20246679171463064,-0.20246679171463064,-0.20246679171463064,0.0,0.0,0.0,299.85880625071894
91,2022-12-12,302.248041141315,277.4472719945154,325.37267157901294,302.248041141315,302.248041141315,-1.485918236387772,-1.485918236387772,-1.485918236387772,-1.485918236387772,-1.485918236387772,-1.485918236387772,0.0,0.0,0.0,300.76212290492725
92,2022-12-13,302.9769638409422,275.62160376425675,325.0953696147883,302.9769638409422,302.9769638409422,-2.926151356094423,-2.926151356094423,-2.926151356094423,-2.926151356094423,-2.926151356094423,-2.926151356094423,0.0,0.0,0.0,300.05081248484777
